path,surface_area,compactness,sphericity,rectangularity,convexity,diameter,eccentricity,major_eccentricity,minor_eccentricity
['data' 'LabeledDB_new' 'Airplane' '61' 'normalized_v2.ply'],-0.8115702342584129,-0.1506337242526276,-0.5612690259412207,-0.6745509552140058,-0.42633466084052135,-0.779254063260584,0.3928365279714427,-0.20664021615851205,0.2587656991104939
['data' 'LabeledDB_new' 'Airplane' '62' 'normalized_v2.ply'],-0.7568384813951154,-0.4042590157833098,-0.19803211241307972,-0.6391493968252869,-0.37976559788055014,-0.7713650132804257,0.21399569229257967,-0.11122030471597542,-0.010791355821661828
['data' 'LabeledDB_new' 'Airplane' '63' 'normalized_v2.ply'],-0.7566680140454237,-0.34780223645599584,-0.3130240264955259,-0.6812699220143285,-0.4339257901615017,-0.7834181674651997,0.16346622224253582,-0.498632081919016,1.1127860453220126
['data' 'LabeledDB_new' 'Airplane' '64' 'normalized_v2.ply'],-0.6125319006525506,-0.2059309632431947,-0.5078687168793105,-0.6884278107461379,-0.5104192616377071,-0.6812043541674113,0.5732379792749004,-0.35125400979986043,0.8412372314135578
['data' 'LabeledDB_new' 'Airplane' '65' 'normalized_v2.ply'],-0.6624084509713764,-0.0813237313861975,-0.6168309930682377,-0.8003252457252324,-0.6798668935222867,-0.7831893894067709,0.725682695000472,-0.4587071267911912,1.747876976165632
['data' 'LabeledDB_new' 'Airplane' '66' 'normalized_v2.ply'],-0.5245437664279791,0.5122093665367033,-0.8549747896149628,-0.7179487736769752,-0.49501658186561026,-0.6722311055972675,1.7668784634398522,-0.5095312861712523,4.530197354377116
['data' 'LabeledDB_new' 'Airplane' '67' 'normalized_v2.ply'],-0.48029480725354473,-0.09510911571543325,-0.606632571509942,-0.7192016938925855,-0.4809032165317075,-0.5268243120945753,0.6510299555109424,-0.4347843919362083,1.4226255084805066
['data' 'LabeledDB_new' 'Airplane' '68' 'normalized_v2.ply'],-0.565886549996901,0.057191314416405896,-0.7014071636107719,-0.8698324678923779,-0.6870703808705197,1.1658652555524447,0.6402745801135145,-0.5529732697096872,3.0178229946689163
['data' 'LabeledDB_new' 'Airplane' '69' 'normalized_v2.ply'],-0.6646635266428064,-0.028435805440262606,-0.6526401762285985,-0.6082688516040308,-0.5098446038165478,-0.7821905071530503,0.6885030048741767,-0.5391354079199915,2.827871698886701
['data' 'LabeledDB_new' 'Airplane' '70' 'normalized_v2.ply'],-0.7896802374026635,0.3912058362407458,-0.8254466593591513,-0.8536618391485156,-0.8464599347829467,-0.7541737034692997,2.6306495787266626,-0.2702853192394158,2.473700470020886
['data' 'LabeledDB_new' 'Airplane' '71' 'normalized_v2.ply'],-0.7425758279905146,-0.11708389833694444,-0.5895424525663686,-0.7928512462499269,-0.6301245805292586,-0.7834632286472102,0.41832310595736066,-0.5245412425971624,1.9393751243061352
['data' 'LabeledDB_new' 'Airplane' '72' 'normalized_v2.ply'],-0.8176537284917285,0.013033022947983473,-0.6775175755140065,-0.8249094341234123,-0.7249079355028344,-0.7827431595324524,0.9284191760005968,-0.5256901348793477,3.1070705131786984
['data' 'LabeledDB_new' 'Airplane' '73' 'normalized_v2.ply'],-0.8250932855077501,-0.05232724663523265,-0.6370789922903243,-0.8803805636507405,-0.7507628256146268,-0.7672469039610125,0.7616317778568092,-0.5478219089156389,3.2094502095016333
['data' 'LabeledDB_new' 'Airplane' '74' 'normalized_v2.ply'],-0.8272988522704733,-0.21202452651793885,-0.5013848974842551,-0.7650346750363134,-0.4549493010975044,-0.7833297272920866,0.7019074440643017,-0.47858652842201205,1.91725748514965
['data' 'LabeledDB_new' 'Airplane' '75' 'normalized_v2.ply'],-0.392090152097059,0.09859367303757051,-0.7217077085531447,-0.547482478034726,-0.31954336416154605,-0.6246971663109427,0.6832758588500747,-0.5399872310542123,2.8331039580810113
['data' 'LabeledDB_new' 'Airplane' '76' 'normalized_v2.ply'],-0.7001248237582496,-0.31856657761698853,-0.36228920310559987,-0.7456788954258295,-0.4646429706486642,-0.6742385114718559,0.7962475283208617,-0.07075869365309741,0.3185787450295828
['data' 'LabeledDB_new' 'Airplane' '77' 'normalized_v2.ply'],-0.6427960149072884,-0.09455555376783337,-0.6070496195978645,-0.8486159129597832,-0.6643770475921041,-0.6087799092547025,0.7711596033381893,-0.42692191892201803,1.5382900779398954
['data' 'LabeledDB_new' 'Airplane' '78' 'normalized_v2.ply'],-0.5890817502197168,0.1342243365164724,-0.7377602033553516,-0.9191779756623897,-0.8578014650181334,-0.5266875671339143,0.9337166218021327,-0.40482120033341934,1.5950875377739917
['data' 'LabeledDB_new' 'Airplane' '79' 'normalized_v2.ply'],-0.611866312444922,0.18172439896045833,-0.7573750110432238,-0.9101421219020338,-0.8371410357585211,-0.37276769264278964,0.2243853249541287,-0.5458177365802863,1.7946885388557736
['data' 'LabeledDB_new' 'Airplane' '80' 'normalized_v2.ply'],-0.5706853749171014,0.19054505879940883,-0.7608133913791257,-0.863538714306337,-0.7675639420263103,-0.6398292445047686,0.33862476212289777,-0.5394038185067266,1.9785301299053764
['data' 'LabeledDB_new' 'Ant' '100' 'normalized_v2.ply'],-0.44792342413497854,0.005874387011304838,-0.6734026021613353,-0.7673754639199853,-0.9128587203554759,-0.664413407321247,-0.48890257569935247,-0.08824073220077644,-0.4954366456737411
['data' 'LabeledDB_new' 'Ant' '81' 'normalized_v2.ply'],-0.6266272678567476,-0.22147037629287314,-0.49107087869688937,-0.7924269535510572,-0.858294814156085,-0.6722314320095961,-0.35154518195034906,0.39203466871729975,-0.5173102027053994
['data' 'LabeledDB_new' 'Ant' '82' 'normalized_v2.ply'],-0.40555420524610786,-0.2393701328811487,-0.4705971869113794,-0.7246216483748888,-0.8911448852854058,-0.48585069506167344,-0.42070030128004665,0.018967992332865242,-0.48189018114145765
['data' 'LabeledDB_new' 'Ant' '83' 'normalized_v2.ply'],-0.6374061136482394,-0.2586679916412185,-0.44704805839116285,-0.7111491025656331,-0.737050148896997,-0.6925726227389883,-0.1244111692948992,0.037247448918662,-0.3250535996460243
['data' 'LabeledDB_new' 'Ant' '84' 'normalized_v2.ply'],-0.5273250784311897,-0.12923433702759315,-0.5796225249169067,-0.8590550252360653,-0.9949700208881143,-0.27948464677579976,-0.45366778857920326,0.27328649093529495,-0.5420422591961741
['data' 'LabeledDB_new' 'Ant' '85' 'normalized_v2.ply'],-0.42415176232458995,-0.1729197597270459,-0.5408542735274098,-0.6093369951071983,-0.5788475762952615,-0.009040197972469502,0.20812002568305965,-0.1217138101347867,-0.0031585742801686786
['data' 'LabeledDB_new' 'Ant' '86' 'normalized_v2.ply'],-0.5563458418883025,-0.3183556799187606,-0.3626235096650536,-0.4725262208866219,-0.561106061729201,-0.611821030566639,-0.34983813811541237,0.40693584388430154,-0.5186144256874033
['data' 'LabeledDB_new' 'Ant' '87' 'normalized_v2.ply'],-0.477873453005366,-0.32059196002104207,-0.35906412146775774,-0.8544076023257823,-0.9297107571358131,-0.28231199655981487,-0.2862220411558877,0.042669769335107036,-0.41491169741064193
['data' 'LabeledDB_new' 'Ant' '88' 'normalized_v2.ply'],-0.3810962853516874,-0.21400969097635644,-0.4992441927989106,-0.9115586137232262,-0.9732543757876638,-0.40324564401650276,-0.42089077412348,-0.24153927127939978,-0.38138135417777264
['data' 'LabeledDB_new' 'Ant' '89' 'normalized_v2.ply'],-0.49434190745624773,-0.0010817399394157158,-0.6693346797219651,-0.6537766049863968,-0.7873637614159082,-0.6268844696109395,-0.15448716234725893,-0.16865945937397028,-0.2187018819062982
['data' 'LabeledDB_new' 'Ant' '90' 'normalized_v2.ply'],-0.4217772237687273,-0.19617424193408017,-0.517984315962574,-0.7419448700469506,-0.862956036354429,-0.5186496055566685,-0.4468251562923241,-0.1361765072553291,-0.4516019665110212
['data' 'LabeledDB_new' 'Ant' '91' 'normalized_v2.ply'],-0.3279180099208318,-0.24904665724430394,-0.4589897516560715,-0.7353809473627646,-0.8903971609204271,-0.3907832075892327,-0.4369539517204727,0.005950190970544417,-0.4878467361157927
['data' 'LabeledDB_new' 'Ant' '92' 'normalized_v2.ply'],-0.6990861492066256,-0.2967883287422623,-0.3953739717576354,-0.6673000462255007,-0.6495264868750946,-0.6196235313539991,-0.08778303594905926,0.6251364180630188,-0.46238942943651323
['data' 'LabeledDB_new' 'Ant' '93' 'normalized_v2.ply'],-0.4387339702815199,-0.31450562715001695,-0.3686769232283657,-0.6844759325602745,-0.7049905691170404,-0.5498021067855511,-0.26770100654315415,-0.13821078092035283,-0.32317002149340235
['data' 'LabeledDB_new' 'Ant' '94' 'normalized_v2.ply'],-0.5978992954691286,0.036123318975929505,-0.6903186748237038,-0.9007562296669485,-0.8901583022653274,-0.7816212507420195,0.13377712290611835,-0.4302910061412066,0.6272364242484201
['data' 'LabeledDB_new' 'Ant' '95' 'normalized_v2.ply'],-0.5527077032447284,-0.30801977363620686,-0.3786666179417843,-0.5876630497314922,-0.5405332853432121,-0.5170054280414272,0.19098371921461785,-0.05978410692776992,-0.07705243542509302
['data' 'LabeledDB_new' 'Ant' '96' 'normalized_v2.ply'],-0.47117896603354814,0.01332876358716742,-0.6776860448678874,-0.6119714117011202,-0.61707745995408,-0.27271508949526413,0.24061498915369733,-0.4044193383990851,0.6599129375255263
['data' 'LabeledDB_new' 'Ant' '97' 'normalized_v2.ply'],-0.461961936732586,-0.006789443625505188,-0.6659445198369542,-0.43682333035830373,-0.5892444419898673,-0.21033477691966906,0.1418299434941758,-0.2720106074472502,0.16347142319255126
['data' 'LabeledDB_new' 'Ant' '98' 'normalized_v2.ply'],-0.6606919457706941,-0.3503046883546224,-0.30851901617183203,-0.6367987643183194,-0.6385191131828257,-0.7133743739713404,-0.17459429373610108,0.582126389332998,-0.48299422979341416
['data' 'LabeledDB_new' 'Ant' '99' 'normalized_v2.ply'],-0.5828720991290403,0.019216701097269664,-0.6810152550216065,-0.9191936409537322,-1.013138159331221,-0.5872482425668601,-0.2989775184174113,-0.18906727225491013,-0.3143527510433711
['data' 'LabeledDB_new' 'Armadillo' '281' 'normalized_v2.ply'],-0.07309648208962419,-0.3733266531764654,-0.26467794602920997,-0.5777260327110656,-0.39316582295507796,-0.1651569078662542,-0.5812511424692202,-0.5048860699740648,-0.33705273128727803
['data' 'LabeledDB_new' 'Armadillo' '282' 'normalized_v2.ply'],-0.06412404089810143,-0.36312296591758336,-0.28466038219136797,-0.27958500713972934,-0.2723415509515911,0.2618060366533434,-0.5136173332696797,-0.37402585909392505,-0.38262541750445406
['data' 'LabeledDB_new' 'Armadillo' '283' 'normalized_v2.ply'],-0.5876924183237818,-0.306225093717592,-0.381385830741292,-0.4772074138269847,-0.30311896203068084,-0.46042774904791794,-0.1630505073449365,0.14765414160245174,-0.3868581925985934
['data' 'LabeledDB_new' 'Armadillo' '284' 'normalized_v2.ply'],0.08822178814682989,-0.37991190861303875,-0.2512838531151475,-0.5230811648460287,-0.33844635453927957,-0.5864307857034421,-0.6301513590407527,-0.4623977299780259,-0.47535897085712125
['data' 'LabeledDB_new' 'Armadillo' '285' 'normalized_v2.ply'],0.29116096199623187,-0.3558342561675014,-0.2983902794148074,-0.21844758125687724,-0.3796927432703318,0.0522298558553711,-0.554216621842136,-0.3265360806492701,-0.4609267694375708
['data' 'LabeledDB_new' 'Armadillo' '286' 'normalized_v2.ply'],0.998803832345877,-0.30362701157680927,-0.38528849377016416,-0.3680518490160192,-0.401038721425849,1.2018459885354607,-0.653312789407436,-0.4753132924379843,-0.5056916862695879
['data' 'LabeledDB_new' 'Armadillo' '287' 'normalized_v2.ply'],0.3643811690741317,-0.31962083977147415,-0.3606137595729162,-0.3859135106417863,-0.44367715087763454,0.7103612223151714,-0.6016616569753727,-0.41551619796535044,-0.4656521792337165
['data' 'LabeledDB_new' 'Armadillo' '288' 'normalized_v2.ply'],0.7555416737680671,-0.3468738751710422,-0.3146830453411118,-0.509244400285946,-0.45908235122587965,1.2022035020449977,-0.6602068309255433,-0.46603153708176653,-0.5233940224955224
['data' 'LabeledDB_new' 'Armadillo' '289' 'normalized_v2.ply'],0.07250830198964818,-0.31964847358529763,-0.3605697477011983,-0.7168057800173353,-0.7210046460271442,0.3727484458196146,-0.6336945849814755,-0.5275899102236495,-0.4151306950338276
['data' 'LabeledDB_new' 'Armadillo' '290' 'normalized_v2.ply'],-0.4179502049248198,-0.24257413270383069,-0.46679731234847344,-0.7822724875958933,-0.7345508146810338,-0.09373657719116817,-0.5622878818998207,-0.384935114611144,-0.4345985486163392
['data' 'LabeledDB_new' 'Armadillo' '291' 'normalized_v2.ply'],-0.09796937115240972,-0.3860481359941447,-0.23843277026852358,-0.016974235939122086,0.17587498768390936,-0.7522211169601593,-0.5179507002291541,-0.07441358184711275,-0.5176754732811713
['data' 'LabeledDB_new' 'Armadillo' '292' 'normalized_v2.ply'],0.09761829226307245,-0.41659606737304433,-0.16856300041632089,-0.4604099300318288,-0.354523822240447,0.28951067606624764,-0.5689929239018133,-0.5178250644774796,-0.2881281829108124
['data' 'LabeledDB_new' 'Armadillo' '293' 'normalized_v2.ply'],-0.17637981982026443,-0.4212028036833223,-0.15708537129105046,-0.30672224860179736,-0.23581102346221142,0.005061851321251825,-0.5123383659142546,-0.3759947102973824,-0.37938720447436647
['data' 'LabeledDB_new' 'Armadillo' '294' 'normalized_v2.ply'],-0.6524074942379245,-0.36808657863027133,-0.27505388598805597,-0.37561512326429514,-0.24246727597696804,-0.5286224710738456,-0.0989197035523154,0.49834816771894663,-0.44521007471774576
['data' 'LabeledDB_new' 'Armadillo' '295' 'normalized_v2.ply'],-0.15278971739911895,-0.4963399064397215,0.07698996759857694,-0.4973270542714959,-0.1498516355924913,-0.5817534257069649,-0.5480238284063061,-0.36181345721230634,-0.4330594290045523
['data' 'LabeledDB_new' 'Armadillo' '296' 'normalized_v2.ply'],0.14746717820060995,-0.4541838593318124,-0.06634921472898787,0.04170714419435944,-0.05319070358010372,0.3557769780938803,-0.4362944062987634,-0.27646619120444793,-0.3731086492927049
['data' 'LabeledDB_new' 'Armadillo' '297' 'normalized_v2.ply'],0.2643837014973511,-0.43214109998378,-0.12872571769807414,-0.33635089666043877,-0.143434408029046,-0.4231550039600386,-0.6372618048602453,-0.411366927195529,-0.517427168461875
['data' 'LabeledDB_new' 'Armadillo' '298' 'normalized_v2.ply'],0.25022256262023623,-0.3886299580130622,-0.23291506411427468,-0.4109995507456536,-0.4342223385043791,0.6400174875011884,-0.6093270621801672,-0.43891074207781505,-0.460113143014404
['data' 'LabeledDB_new' 'Armadillo' '299' 'normalized_v2.ply'],0.7104668106001968,-0.40391418603440404,-0.19883037503770165,-0.4457488849276344,-0.42644728375157964,1.5657084838305113,-0.6566810275230216,-0.46896327745490474,-0.5156433193595858
['data' 'LabeledDB_new' 'Armadillo' '300' 'normalized_v2.ply'],0.0046097509938452606,-0.3815937425138874,-0.2477978080907815,-0.7867991224202755,-0.708001193607898,0.43982104403769273,-0.6413760133772984,-0.543303094643805,-0.41042088592582304
['data' 'LabeledDB_new' 'Bearing' '341' 'normalized_v2.ply'],-0.5140749593263874,-0.6040252068649071,0.7034053661341162,1.158471380917861,1.478517036185185,-0.5884071121645084,-0.08665132705951781,1.6484331258661904,-0.5485018853874294
['data' 'LabeledDB_new' 'Bearing' '342' 'normalized_v2.ply'],-0.5140703365304261,-0.6040248660383758,0.7034023707379888,1.1578724031947847,1.4797169094619427,-0.5891916084531125,-0.08634835801280402,1.6535201296494175,-0.5486923724097159
['data' 'LabeledDB_new' 'Bearing' '343' 'normalized_v2.ply'],-0.5143933240748317,-0.6040248798573845,0.7034024921878685,1.1536028555889322,1.4777824930859698,-0.5916240436631127,-0.0848561428522565,1.6561721875842916,-0.5485631724849844
['data' 'LabeledDB_new' 'Bearing' '344' 'normalized_v2.ply'],0.11924445753510032,-0.6686520661139763,1.522498802002102,1.9890391483768202,1.7344646648351956,0.033374778892393195,-0.4181753891756809,0.45850083299542105,-0.5486411444865114
['data' 'LabeledDB_new' 'Bearing' '345' 'normalized_v2.ply'],0.12850592661693125,-0.6647647250277449,1.453288066528502,1.9016647411818768,1.6823295516235346,0.0495162987467436,-0.41437202419045016,0.459566645711934,-0.5474248724017096
['data' 'LabeledDB_new' 'Bearing' '346' 'normalized_v2.ply'],0.12293767350900274,-0.6664099062180798,1.4821365947097551,1.8715269500136247,1.6837479514314195,0.021041564771904882,-0.421363826285651,0.45081961509878027,-0.5490093079160134
['data' 'LabeledDB_new' 'Bearing' '347' 'normalized_v2.ply'],0.08827557789753311,-0.701927240450096,2.3099379015269883,3.4523103123338243,2.2634135208296504,-0.07023923921776834,-0.45883417686637107,0.3008543879088882,-0.5473742199836229
['data' 'LabeledDB_new' 'Bearing' '348' 'normalized_v2.ply'],-0.8343852419937959,-0.5927918214155342,0.6096739800595068,3.2309178332809987,2.169317709345099,-0.7130210897594845,0.6074020603760006,4.150537690510074,-0.548685504366554
['data' 'LabeledDB_new' 'Bearing' '349' 'normalized_v2.ply'],-0.834429179852473,-0.5927918029360193,0.609673833667383,3.225212704683354,2.168965403712448,-0.7122824262766182,0.6180593852101547,4.185401613631537,-0.548605287029037
['data' 'LabeledDB_new' 'Bearing' '350' 'normalized_v2.ply'],-0.8393351113597362,-0.5971178939963071,0.6446255003214277,3.2399529310889092,2.1762377463673923,-0.722984457117443,0.6053409187576917,4.15359508458107,-0.5489273810969026
['data' 'LabeledDB_new' 'Bearing' '351' 'normalized_v2.ply'],-0.4915299172558552,-0.6385632144971158,1.0664240023968028,1.8113270535415034,1.504911158939143,-0.47077052697094357,-0.25329647409138406,1.0256750123015637,-0.5469502191513336
['data' 'LabeledDB_new' 'Bearing' '352' 'normalized_v2.ply'],-0.4836163147735874,-0.6468290387137211,1.1754390911381059,1.9047524689924993,1.615781960529868,-0.48269835898874464,-0.27261885340972886,0.9618418011024121,-0.5472686038580796
['data' 'LabeledDB_new' 'Bearing' '353' 'normalized_v2.ply'],-0.898368830482316,-0.5436252539646317,0.29079390601303434,0.5619014552664571,0.7956796309063124,-0.7453035556589174,0.20043796338915337,2.6898448823426904,-0.5488235842841489
['data' 'LabeledDB_new' 'Bearing' '354' 'normalized_v2.ply'],-0.6761238408476414,-0.6102899452507551,0.7601502401093747,0.7619019934090143,0.8818745537823146,-0.4698864430934979,0.13768368993321325,2.4583482933564067,-0.5486346818549254
['data' 'LabeledDB_new' 'Bearing' '355' 'normalized_v2.ply'],-0.9113927023122702,-0.5735686634174588,0.46952439394175577,3.9342784188426303,2.434942484464208,-0.7168892082249843,1.246430878050719,6.455656571808076,-0.5487626990468473
['data' 'LabeledDB_new' 'Bearing' '356' 'normalized_v2.ply'],-0.9114761409886445,-0.5736319674634616,0.4699492603742198,3.9114798598604623,2.434872437963583,-0.7159617911356646,1.2579853534110752,6.504450186511223,-0.5488742489065747
['data' 'LabeledDB_new' 'Bearing' '357' 'normalized_v2.ply'],-0.8467612218953579,0.11115624849004069,-0.7275084546240027,4.2750367073023465,1.7561579275420023,-0.638341858068816,4.871613824657805,5.378967965328678,-0.28834035099104405
['data' 'LabeledDB_new' 'Bearing' '358' 'normalized_v2.ply'],0.4375534677030955,-0.13103821599344953,-0.5781197377301434,-0.6270735375620845,-0.43319173559422747,0.25250295230558445,-0.6425555586619431,-0.3491547335549866,-0.5485413698283513
['data' 'LabeledDB_new' 'Bearing' '359' 'normalized_v2.ply'],0.44074596746405725,-0.13089114912611058,-0.5782425539477312,-0.6264788190096352,-0.43394045852003077,0.2698165448339178,-0.64073518556991,-0.34253894048330896,-0.5485636251317975
['data' 'LabeledDB_new' 'Bearing' '360' 'normalized_v2.ply'],-0.6303789998535138,-0.6031009419539296,0.695317796154467,3.247630185224927,2.0994464004885733,-0.5831947233970691,0.18011379427969995,2.6093179959011454,-0.5485774986006112
['data' 'LabeledDB_new' 'Bird' '241' 'normalized_v2.ply'],-0.9746441083250521,-0.32586431739160193,-0.3505434777009855,-0.8044736637843888,-0.4825882169811941,-0.7832536755009617,0.36178823517123243,-0.37750552532723236,0.7008020809862994
['data' 'LabeledDB_new' 'Bird' '242' 'normalized_v2.ply'],-0.3967441110056041,-0.24387251966532347,-0.4652453106306382,-0.6971872026169428,-0.41524668588828967,-0.7830077680571422,-0.5320318472084764,-0.4284081561275475,-0.35476289101267855
['data' 'LabeledDB_new' 'Bird' '243' 'normalized_v2.ply'],-0.9796103500803993,-0.3833151077427785,-0.24420168455739943,-0.30701643559723946,0.18754551605451153,-0.7832038202945634,1.6983885208940126,1.319226188162508,-0.17412926514457716
['data' 'LabeledDB_new' 'Bird' '244' 'normalized_v2.ply'],-0.8643079730979036,-0.05182677489031878,-0.6374149570919235,-0.4928754197481017,-0.010522503590893744,-0.7765545634198389,1.3879157692194382,0.3269661879723779,0.17252645439857503
['data' 'LabeledDB_new' 'Bird' '245' 'normalized_v2.ply'],-0.5344145025910639,0.1021103656775579,-0.7233475544220409,-0.8854896336309495,-0.7215455855614284,-0.7835026056324201,-0.5303522297617818,-0.4114428229052962,-0.37016243029098433
['data' 'LabeledDB_new' 'Bird' '246' 'normalized_v2.ply'],-0.8882690003259522,-0.16918765985431145,-0.5443712461968547,-0.5734401887788523,-0.35151000363045093,-0.7832663712630907,0.10591255666275266,0.9467222275067144,-0.45368137854805796
['data' 'LabeledDB_new' 'Bird' '247' 'normalized_v2.ply'],-0.6888455742555837,-0.061130587521204933,-0.6310963927505876,-0.8166809660945881,-0.5937590989846215,-0.7828797915355395,-0.41283055185874323,-0.048562995399275374,-0.4586258937188065
['data' 'LabeledDB_new' 'Bird' '248' 'normalized_v2.ply'],0.14619947757629728,0.2744744161862984,-0.7907442019098241,-0.9399925291122028,-0.8268666952482613,0.4053950840998487,-0.6441255905083059,-0.5415426584614796,-0.41993170877866426
['data' 'LabeledDB_new' 'Bird' '249' 'normalized_v2.ply'],-0.9703215222753285,-0.14106835604267948,-0.5696169983840408,-0.831579972821682,-0.5339138831328745,-0.7807087032811693,0.46741236516988577,0.11813987210847327,-0.06765381300627671
['data' 'LabeledDB_new' 'Bird' '250' 'normalized_v2.ply'],-0.8488420008313702,0.013760781883988328,-0.6779319289592721,-0.5037570318114951,0.1139572561607346,-0.7832573777386312,2.1177275589150595,-0.41703848600063775,3.3531823402666374
['data' 'LabeledDB_new' 'Bird' '251' 'normalized_v2.ply'],-0.9796103500803993,-0.3833151077427785,-0.24420168455739943,-0.30701643559723946,0.18754551605451153,-0.7832038202945634,1.6983885208940126,1.319226188162508,-0.17412926514457716
['data' 'LabeledDB_new' 'Bird' '252' 'normalized_v2.ply'],-0.5350709824955786,-0.04721690733641769,-0.6404889418218085,-0.8565116560018816,-0.7189185670167929,-0.7829818947173862,-0.4484977704042522,-0.1888756878088192,-0.43153008611321
['data' 'LabeledDB_new' 'Bird' '253' 'normalized_v2.ply'],-0.6179757385691097,0.054209622029044856,-0.6998705023620448,-0.8298402316433251,-0.577629012676037,-0.756993556197033,0.07508771615889494,-0.477380104804078,0.7898852240460676
