path,bounding_box_p0,bounding_box_p1,surface_area,volume,diameter
['data' 'LabeledDB_new' 'Airplane' '61' 'original.ply'],[-0.47466201 -0.97523898 -0.211997  ],[0.60201001 0.98970902 0.119239  ],6.246197176681186,0.700764390990962,2.264941624242273
['data' 'LabeledDB_new' 'Airplane' '62' 'original.ply'],[-0.80097997 -0.153854   -0.93096101],[0.81147802 0.29155701 0.99852598],9.377676023201488,1.3857701841881107,2.5536898373365027
['data' 'LabeledDB_new' 'Airplane' '63' 'original.ply'],[-0.99471599 -0.124181   -0.84537101],[0.99978602 0.27794799 0.85272801],9.743527673189043,1.3619553700008462,2.650148346786223
['data' 'LabeledDB_new' 'Airplane' '64' 'original.ply'],[-0.76821101 -0.83962202 -0.14594799],[0.77170497 0.99999899 0.34488699],8.983313515334402,1.3904676607442563,2.4487681907224568
['data' 'LabeledDB_new' 'Airplane' '65' 'original.ply'],[-0.999663   -0.85610199 -0.148949  ],[0.69450301 0.86812001 0.213338  ],8.319111680786346,1.0582831866108602,2.444256909999814
['data' 'LabeledDB_new' 'Airplane' '66' 'original.ply'],[-0.99682301 -0.73800302 -0.10352   ],[0.68618202 0.73818803 0.21936999],7.009019506178073,0.8021998276931455,2.261836398126004
['data' 'LabeledDB_new' 'Airplane' '67' 'original.ply'],[-0.99839097 -0.81234097 -0.108847  ],[0.76922899 0.81213802 0.361909  ],8.936624910501877,1.351757739542602,2.4464307818460562
['data' 'LabeledDB_new' 'Airplane' '68' 'original.ply'],[-0.848046   -0.87846601 -0.098027  ],[0.55745697 0.89659202 0.300253  ],7.523206375762288,0.9936486019441747,2.298890294585752
['data' 'LabeledDB_new' 'Airplane' '69' 'original.ply'],[-0.61922801 -0.94339103 -0.109835  ],[0.80114901 0.95531398 0.267849  ],7.900882230309946,1.018567266426791,2.401082415899851
['data' 'LabeledDB_new' 'Airplane' '70' 'original.ply'],[-0.62754703 -0.98559302 -0.172914  ],[0.56033099 0.99884599 0.24910501],7.392099097988051,0.9948133614843078,2.350989668029431
['data' 'LabeledDB_new' 'Airplane' '71' 'original.ply'],[-0.83764899 -0.98194498 -0.123477  ],[0.77286297 0.99644798 0.31294799],9.50502659053504,1.3905484258874146,2.5880985753220997
['data' 'LabeledDB_new' 'Airplane' '72' 'original.ply'],[-0.80012    -0.98422498 -0.0927    ],[0.64798301 0.99471498 0.285447  ],8.32326981988303,1.083659219417183,2.481169242424983
['data' 'LabeledDB_new' 'Airplane' '73' 'original.ply'],[-0.89365298 -0.97231901 -0.121931  ],[0.68551803 0.98491299 0.27336699],8.97747402233991,1.2217886126703654,2.5457412769786982
['data' 'LabeledDB_new' 'Airplane' '74' 'original.ply'],[-0.76172298 -0.97458398 -0.128179  ],[0.60097301 0.98356402 0.26549599],7.9513872865203385,1.0504667530501128,2.417904869976403
['data' 'LabeledDB_new' 'Airplane' '75' 'original.ply'],[-0.99911302 -0.831949   -0.126864  ],[0.74962902 0.84124899 0.156793  ],7.793297809240302,0.829978015803292,2.4368322727861123
['data' 'LabeledDB_new' 'Airplane' '76' 'original.ply'],[-0.997913   -0.73194402 -0.12601601],[0.83532602 0.74372    0.328565  ],8.418818672035945,1.229752933397435,2.396871605120001
['data' 'LabeledDB_new' 'Airplane' '77' 'original.ply'],[-0.87261099 -0.112446   -0.99926299],[0.87496799 0.33892301 0.78739101],9.4351244055568,1.4093180196277284,2.539665089933022
['data' 'LabeledDB_new' 'Airplane' '78' 'original.ply'],[-0.99779302 -0.903584   -0.121189  ],[0.82673198 0.904432   0.482449  ],10.983020308837688,1.991263141085433,2.6385966273539774
['data' 'LabeledDB_new' 'Airplane' '79' 'original.ply'],[-0.89762503 -0.96610802 -0.103375  ],[0.679039   0.98601103 0.46487799],10.16615490208406,1.7489894663588235,2.572848562787715
['data' 'LabeledDB_new' 'Airplane' '80' 'original.ply'],[-0.91575402 -0.97575402 -0.113978  ],[0.63262099 0.94688803 0.42378199],9.687090013752655,1.6008958440686503,2.5265002355441526
['data' 'LabeledDB_new' 'Ant' '100' 'original.ply'],[-0.377489   -0.81231898 -0.52976799],[0.37869999 0.86901301 0.54171801],7.766348670618953,1.3622923731727656,2.132318291106251
['data' 'LabeledDB_new' 'Ant' '81' 'original.ply'],[-0.48686001 -0.97787702 -0.48428801],[0.41716501 0.84536099 0.241441  ],7.255013327032431,1.1961848475378807,2.160588040356008
['data' 'LabeledDB_new' 'Ant' '82' 'original.ply'],[-0.48761299 -0.86030197 -0.579611  ],[0.61847299 0.92207801 0.39406401],9.567785326463245,1.9195667177258577,2.312649486791146
['data' 'LabeledDB_new' 'Ant' '83' 'original.ply'],[-0.61159301 -0.94282401 -0.314417  ],[0.48783299 0.92787403 0.29950199],7.760219216226938,1.2626435398535492,2.2550266507916366
['data' 'LabeledDB_new' 'Ant' '84' 'original.ply'],[-0.43863001 -0.82299101 -0.45998499],[0.42824    0.92733902 0.487656  ],7.994949305175121,1.4378638371603722,2.170977263459189
['data' 'LabeledDB_new' 'Ant' '85' 'original.ply'],[-0.63033199 -0.81419802 -0.201516  ],[0.46254301 0.93533099 0.40810901],7.289634187111979,1.1656130915293816,2.151016077347741
['data' 'LabeledDB_new' 'Ant' '86' 'original.ply'],[-0.330663 -0.925771 -0.480266],[0.31010199 0.90053701 0.35527501],6.463149760101089,0.9777786816200467,2.1081056651610166
['data' 'LabeledDB_new' 'Ant' '87' 'original.ply'],[-0.56566799 -0.87576097 -0.54826599],[0.66233099 0.96299702 0.307246  ],9.76328057234339,1.931740026601376,2.370846515047995
['data' 'LabeledDB_new' 'Ant' '88' 'original.ply'],[-0.76044601 -0.84433103 -0.638264  ],[0.75040698 0.98123503 0.37488699],12.276916388599311,2.7944344948837534,2.5771773530161806
['data' 'LabeledDB_new' 'Ant' '89' 'original.ply'],[-0.54617202 -0.88876402 -0.209979  ],[0.48006299 0.91989797 0.42837101],7.331537611842453,1.1848492862838176,2.1752947524591684
['data' 'LabeledDB_new' 'Ant' '90' 'original.ply'],[-0.51492101 -0.88920599 -0.45636001],[0.60625899 0.91630399 0.38597399],8.97910433382232,1.7051381364450815,2.286140298231983
['data' 'LabeledDB_new' 'Ant' '91' 'original.ply'],[-0.56759799 -0.80226099 -0.492147  ],[0.59686899 0.970994   0.40660301],9.410349036040031,1.855826084357103,2.3039462185057906
['data' 'LabeledDB_new' 'Ant' '92' 'original.ply'],[-0.45601901 -0.91071099 -0.31230801],[0.50269401 0.99820697 0.26227501],6.955593198773295,1.0515469860689803,2.212067834999854
['data' 'LabeledDB_new' 'Ant' '93' 'original.ply'],[-0.78944302 -0.88670301 -0.224755  ],[0.75233698 0.95122999 0.491097  ],10.506125343473942,2.0285014843779745,2.5035030209726443
['data' 'LabeledDB_new' 'Ant' '94' 'original.ply'],[-0.92970002 -0.290205   -0.77712297],[0.79455  0.330704 0.716456],9.146565129359978,1.5990291767355218,2.3641794053200123
['data' 'LabeledDB_new' 'Ant' '95' 'original.ply'],[-0.66633201 -0.82165003 -0.22944801],[0.51441699 0.95625001 0.25301301],7.053373054568805,1.0128080786703093,2.1881191438863485
['data' 'LabeledDB_new' 'Ant' '96' 'original.ply'],[-0.76046199 -0.96573901 -0.33206201],[0.62312102 0.73051703 0.402383  ],9.21776689488458,1.7236770908571337,2.3088949669082166
['data' 'LabeledDB_new' 'Ant' '97' 'original.ply'],[-0.56225598 -0.88300699 -0.18466599],[0.49010399 0.82999498 0.211496  ],5.7964519561297445,0.7141591149480029,2.0490928630319454
['data' 'LabeledDB_new' 'Ant' '98' 'original.ply'],[-0.44565299 -0.95827198 -0.42872301],[0.392499   0.93863899 0.38128099],7.610623254347708,1.2878251126100562,2.2264043758527166
['data' 'LabeledDB_new' 'Ant' '99' 'original.ply'],[-0.58798999 -0.93640298 -0.47950301],[0.67311198 0.81604701 0.28520799],9.029028843060289,1.6900251488704692,2.290467642995404
['data' 'LabeledDB_new' 'Armadillo' '281' 'original.ply'],[-0.70611697 -0.684591   -0.471506  ],[0.54328698 0.64282799 0.65875202],9.14191465026338,1.8745131815174803,2.1448856836113
['data' 'LabeledDB_new' 'Armadillo' '282' 'original.ply'],[-0.40090999 -0.892775   -0.490459  ],[0.448975   0.72728401 0.48733899],7.583940200014695,1.346294681941489,2.0743636608200613
['data' 'LabeledDB_new' 'Armadillo' '283' 'original.ply'],[-0.47476    -0.951002   -0.47300401],[0.41338301 0.92768598 0.46067399],8.503745603931176,1.557882436751708,2.2781617856312595
['data' 'LabeledDB_new' 'Armadillo' '284' 'original.ply'],[-0.56030202 -0.84252501 -0.70154899],[0.59750199 0.596627   0.69585198],10.590489660162973,2.3284277071303583,2.3161170312151196
['data' 'LabeledDB_new' 'Armadillo' '285' 'original.ply'],[-0.47710499 -0.86975002 -0.78746903],[0.55666798 0.68065798 0.64269602],10.597150449753734,2.2922254935376465,2.349004816001143
['data' 'LabeledDB_new' 'Armadillo' '286' 'original.ply'],[-0.62711298 -0.65712398 -0.76235503],[0.71248603 0.66434503 0.55341703],10.543195049664988,2.3292304576969975,2.2960971153087866
['data' 'LabeledDB_new' 'Armadillo' '287' 'original.ply'],[-0.63016498 -0.64700699 -0.72964299],[0.68514699 0.83988798 0.71523201],12.009138983436529,2.825786461506423,2.4553138256876985
['data' 'LabeledDB_new' 'Armadillo' '288' 'original.ply'],[-0.66566598 -0.77881199 -0.628892  ],[0.79734999 0.68760598 0.77049702],12.48962125916561,3.0022393022953073,2.499817403294341
['data' 'LabeledDB_new' 'Armadillo' '289' 'original.ply'],[-0.928195   -0.88401002 -0.56693202],[0.867028   0.62945801 0.89740902],15.12412935883492,3.978633080860973,2.767256000957674
['data' 'LabeledDB_new' 'Armadillo' '290' 'original.ply'],[-0.68312699 -0.74813598 -0.59238899],[0.39190999 0.70642799 0.60940099],9.207518226645703,1.8792510654385224,2.171580068879264
['data' 'LabeledDB_new' 'Armadillo' '291' 'original.ply'],[-0.47343501 -0.98040003 -0.47274601],[0.46124399 0.906847   0.433274  ],8.641383258185302,1.598192277053343,2.2926400592858798
['data' 'LabeledDB_new' 'Armadillo' '292' 'original.ply'],[-0.698511   -0.67981797 -0.487378  ],[0.58212602 0.64549297 0.67856902],9.471279078334135,1.9788945641746893,2.180805527276128
['data' 'LabeledDB_new' 'Armadillo' '293' 'original.ply'],[-0.40590599 -0.89056402 -0.487903  ],[0.44767201 0.73643601 0.49389601],7.6484009745565835,1.3634944169999677,2.083183574122038
['data' 'LabeledDB_new' 'Armadillo' '294' 'original.ply'],[-0.31573999 -0.94628698 -0.475999  ],[0.37474501 0.90486997 0.44398701],7.232942287428045,1.1759225366509538,2.17943245994124
['data' 'LabeledDB_new' 'Armadillo' '295' 'original.ply'],[-0.57701099 -0.88827503 -0.50263703],[0.551512   0.51448101 0.62818599],8.890942045632954,1.7901408247105361,2.1260407645001758
['data' 'LabeledDB_new' 'Armadillo' '296' 'original.ply'],[-0.45333701 -0.86652499 -0.66138202],[0.42297301 0.73038101 0.616184  ],9.118162962204593,1.7878063809221132,2.2249051597651466
['data' 'LabeledDB_new' 'Armadillo' '297' 'original.ply'],[-0.61183298 -0.54466897 -0.79831499],[0.759547   0.59240901 0.51267898],9.69587846824924,2.0443193928842014,2.2118622387285884
['data' 'LabeledDB_new' 'Armadillo' '298' 'original.ply'],[-0.63471001 -0.66605997 -0.67781299],[0.68663299 0.826428   0.70980102],11.753199635822405,2.7364976833543846,2.4287734174695443
['data' 'LabeledDB_new' 'Armadillo' '299' 'original.ply'],[-0.684075   -0.77289402 -0.623182  ],[0.785519   0.706352   0.78919601],12.677535780091105,3.0703559623630134,2.5184691720659766
['data' 'LabeledDB_new' 'Armadillo' '300' 'original.ply'],[-0.91782498 -0.85888702 -0.56888902],[0.860955   0.57993799 0.88204002],14.455739348479057,3.7134397941805406,2.709145758052
['data' 'LabeledDB_new' 'Bearing' '341' 'original.ply'],[-0.231885   -0.23149399 -0.99838001],[0.23165201 0.231261   0.54238302],3.28340105727999,0.3304999317946013,1.6742041177320135
['data' 'LabeledDB_new' 'Bearing' '342' 'original.ply'],[-0.28538299 -0.28698701 -0.94166702],[0.28879699 0.28622201 0.96685898],5.0378937458768025,0.6281438891861215,2.07381839355756
['data' 'LabeledDB_new' 'Bearing' '343' 'original.ply'],[-0.27669901 -0.276398   -0.840792  ],[0.27640501 0.27577099 0.99768198],4.674845098046005,0.5614826140675852,1.9976989782728474
['data' 'LabeledDB_new' 'Bearing' '344' 'original.ply'],[-0.26240599 -0.82496703 -0.26254901],[0.264029   0.39987701 0.25959101],3.118427265818223,0.33667628379062314,1.431784523532197
['data' 'LabeledDB_new' 'Bearing' '345' 'original.ply'],[-0.26699099 -0.81901199 -0.26346901],[0.26615    0.40181801 0.26430401],3.1531461479542795,0.34351400639033497,1.4329024909680748
['data' 'LabeledDB_new' 'Bearing' '346' 'original.ply'],[-0.26744401 -0.40218601 -0.266745  ],[0.26587701 0.81787902 0.26504901],3.1662530604216137,0.34603109295582396,1.433804329605252
['data' 'LabeledDB_new' 'Bearing' '347' 'original.ply'],[-0.34036401 -0.34220901 -0.88212597],[0.33957499 0.34191701 0.94083101],5.903591627017487,0.8479738924719136,2.0624057808734046
['data' 'LabeledDB_new' 'Bearing' '348' 'original.ply'],[-0.077731   -0.50416899  0.71616203],[0.0773     0.50374001 0.87119299],0.6730976928382653,0.024224694667581956,1.031479404582068
['data' 'LabeledDB_new' 'Bearing' '349' 'original.ply'],[-0.145886   -0.99659902 -0.145886  ],[0.124      0.75801998 0.124     ],2.0398653380034735,0.1278037355696569,1.7956516230805017
['data' 'LabeledDB_new' 'Bearing' '350' 'original.ply'],[-0.14191601 -0.141449   -0.85696101],[0.143134   0.143601   0.99777299],2.2772747562457116,0.1507036389853647,1.8980372057165635
['data' 'LabeledDB_new' 'Bearing' '351' 'original.ply'],[-0.26150301 -0.26158699 -0.991175  ],[0.26113299 0.26305699 0.85059601],4.406095485903226,0.5050096190505755,1.9850743408999034
['data' 'LabeledDB_new' 'Bearing' '352' 'original.ply'],[-0.233216   -0.23148499 -0.99318999],[0.232391 0.231397 0.636527],3.457390798153036,0.35123839755569414,1.7569937675662957
['data' 'LabeledDB_new' 'Bearing' '353' 'original.ply'],[-0.826823 -0.190733 -0.190732],[0.998541   0.19164801 0.191649  ],3.084368557819357,0.26689602450991334,1.9037815469319048
['data' 'LabeledDB_new' 'Bearing' '354' 'original.ply'],[-0.17287201 -0.222799   -0.172553  ],[0.17271601 0.99545503 0.17246599],1.9211384091766326,0.14525782492481062,1.312483167486163
['data' 'LabeledDB_new' 'Bearing' '355' 'original.ply'],[-0.124472   -0.99414301 -0.123083  ],[0.12416    0.99491799 0.125549  ],2.10181262249803,0.12295951961984704,2.019900838920791
['data' 'LabeledDB_new' 'Bearing' '356' 'original.ply'],[-0.124505   -0.99427301 -0.123108  ],[0.124144   0.99491799 0.125541  ],2.102094067993619,0.12298437049606098,2.0200330365774692
['data' 'LabeledDB_new' 'Bearing' '357' 'original.ply'],[-0.988626 -0.06511  -0.132705],[0.98104  0.065125 0.135563],1.639711412805338,0.068815962168611,1.992112709067823
['data' 'LabeledDB_new' 'Bearing' '358' 'original.ply'],[-0.47442999 -0.99912602 -0.47397399],[0.47480801 0.24626701 0.47526401],6.530803110547591,1.1221648517126723,1.831149734865279
['data' 'LabeledDB_new' 'Bearing' '359' 'original.ply'],[-0.47646901 -0.250227   -0.474857  ],[0.47575301 0.99909401 0.477366  ],6.5719817932272395,1.1327939827753974,1.8369154626198883
['data' 'LabeledDB_new' 'Bearing' '360' 'original.ply'],[-0.019954   -0.018536    0.80833203],[0.018022   0.019193   0.99988598],0.031868776288166895,0.00027445782498503485,0.19889336298948396
['data' 'LabeledDB_new' 'Bird' '241' 'original.ply'],[-0.81724101 -0.19001    -0.99154198],[0.57289302 0.096359   0.99632299],7.4615058809234505,0.7913517271718792,2.4425574680923696
['data' 'LabeledDB_new' 'Bird' '242' 'original.ply'],[-0.90860897 -0.375195   -0.66133797],[0.90924197 0.42774901 0.63727099],9.726040645734592,1.8954918660534816,2.373960060527819
['data' 'LabeledDB_new' 'Bird' '243' 'original.ply'],[-0.99422097 -0.25122401 -0.28391501],[0.99827898 0.26043099 0.27986899],4.86255013801869,0.5747623246435682,2.1330024109764167
['data' 'LabeledDB_new' 'Bird' '244' 'original.ply'],[-0.97948098 -0.196637   -0.541803  ],[0.98767501 0.082153   0.380353  ],5.239072038473701,0.5057319582340076,2.190387697864447
['data' 'LabeledDB_new' 'Bird' '245' 'original.ply'],[-0.90572602 -0.36039901 -0.66175002],[0.909522 0.411998 0.594742],9.306894920027226,1.7617175834579222,2.3389088660097253
['data' 'LabeledDB_new' 'Bird' '246' 'original.ply'],[-0.97213697 -0.35036999 -0.34916699],[0.97714299 0.193331   0.30081299],5.3604263235283085,0.6888653249294742,2.125506321004905
['data' 'LabeledDB_new' 'Bird' '247' 'original.ply'],[-0.91203398 -0.34376901 -0.59118003],[0.93971401 0.384718   0.41394299],7.884855926063096,1.355885186688275,2.229335378905938
['data' 'LabeledDB_new' 'Bird' '248' 'original.ply'],[-0.76941198 -0.50585198 -0.72419697],[0.68453699 0.68733102 0.51725799],10.04224465848732,2.1537098382867383,2.253633448203482
['data' 'LabeledDB_new' 'Bird' '249' 'original.ply'],[-0.99546403 -0.31703001 -0.51594299],[0.96847701 0.076347   0.445595  ],6.07844022741506,0.7428546911617724,2.2217932339825652
['data' 'LabeledDB_new' 'Bird' '250' 'original.ply'],[-0.59697801 -0.943793   -0.115959  ],[0.75774997 0.97080702 0.068393  ],6.392938764212142,0.47816526011856775,2.3526510124690145
['data' 'LabeledDB_new' 'Bird' '251' 'original.ply'],[-0.99422097 -0.25122401 -0.28391501],[0.99827898 0.26043099 0.27986899],4.86255013801869,0.5747623246435682,2.1330024109764167
['data' 'LabeledDB_new' 'Bird' '252' 'original.ply'],[-0.87319899 -0.48338899 -0.622096  ],[0.86327302 0.28674901 0.444213  ],8.020287790078397,1.4259996358571636,2.17840824225303
['data' 'LabeledDB_new' 'Bird' '253' 'original.ply'],[-0.920349   -0.17476    -0.69052398],[0.91323602 0.31705901 0.89932901],9.197685043300725,1.433716658232491,2.476197185874808
['data' 'LabeledDB_new' 'Bird' '254' 'original.ply'],[-0.13471401 -0.99703699 -0.53518403],[0.075077   0.997805   0.41689301],5.034960689660032,0.39844414785840354,2.2203282449469497
['data' 'LabeledDB_new' 'Bird' '255' 'original.ply'],[-0.96463001 -0.30213001 -0.511554  ],[0.97691101 0.22517    0.55328   ],7.30536094888719,1.0901500086169738,2.2762904621042437
['data' 'LabeledDB_new' 'Bird' '256' 'original.ply'],[-0.76909602 -0.587246   -0.77253002],[0.94102699 0.45618299 0.86396402],12.58112666820325,2.920146730911105,2.586769699799356
['data' 'LabeledDB_new' 'Bird' '257' 'original.ply'],[-0.961106   -0.19041701 -0.57042402],[0.95278698 0.082656   0.38480699],5.223380512283227,0.4992347888360448,2.1563908525080233
['data' 'LabeledDB_new' 'Bird' '258' 'original.ply'],[-0.65438902 -0.65957999 -0.62718701],[0.74253601 0.74567902 0.63092601],10.9770114850771,2.4697280730601423,2.3471260782660686
['data' 'LabeledDB_new' 'Bird' '259' 'original.ply'],[-0.89837003 -0.314132   -0.73954701],[0.90392601 0.28799599 0.88372898],9.9765134775163,1.7616000661581301,2.499170684173771
['data' 'LabeledDB_new' 'Bird' '260' 'original.ply'],[-0.487526 -0.451159 -0.661174],[0.450508   0.65925199 0.66150302],7.502068722653711,1.3777046905022692,1.9652976450835813
['data' 'LabeledDB_new' 'Bust' '301' 'original.ply'],[-0.50410998 -0.943762   -0.42412999],[0.469789 0.941315 0.414572],8.467406823736232,1.539751654142971,2.2815379781165857
['data' 'LabeledDB_new' 'Bust' '302' 'original.ply'],[-0.70243597 -0.76488101 -0.50719899],[0.70008898 0.97979999 0.49800301],11.221072659237834,2.4596876974769506,2.4538579983033983
['data' 'LabeledDB_new' 'Bust' '303' 'original.ply'],[-0.67344499 -0.80411398 -0.53799999],[0.492645   0.54216301 0.433348  ],8.020525462530745,1.5248998960909437,2.028729778827175
['data' 'LabeledDB_new' 'Bust' '304' 'original.ply'],[-0.957968   -0.53179199 -0.37162301],[0.97522801 0.50701702 0.39817199],8.592112025862313,1.5459188051805264,2.325716081232337
['data' 'LabeledDB_new' 'Bust' '305' 'original.ply'],[-0.768354   -0.90440798 -0.66078299],[0.84122002 0.80998999 0.57259798],13.718348463280556,3.403453653836726,2.6553940460391536
['data' 'LabeledDB_new' 'Bust' '306' 'original.ply'],[-0.555583   -0.68275201 -0.50810897],[0.69060898 0.99804002 0.50453502],10.11716465401998,2.121073525210863,2.324543861487478
['data' 'LabeledDB_new' 'Bust' '307' 'original.ply'],[-0.912588   -0.85124701 -0.83898598],[0.901272   0.812482   0.86570299],17.891958241961213,5.144361786226933,2.9940018025669137
['data' 'LabeledDB_new' 'Bust' '308' 'original.ply'],[-0.95658201 -0.92250001 -0.77053797],[0.76792598 0.91883397 0.75375402],17.22155905988153,4.840229422578636,2.9475251859690674
['data' 'LabeledDB_new' 'Bust' '309' 'original.ply'],[-0.55834198 -0.57266301 -0.87581599],[0.577043   0.57749403 0.535348  ],9.062291184102826,1.842798150452211,2.145540501617369
['data' 'LabeledDB_new' 'Bust' '310' 'original.ply'],[-0.99869502 -0.92189902 -0.62884098],[0.843467   0.92461801 0.65552503],16.278395017231446,4.368878262030759,2.9073668607552037
['data' 'LabeledDB_new' 'Bust' '311' 'original.ply'],[-0.57319099 -0.78905499 -0.68158102],[0.50686401 0.98529202 0.621898  ],11.274090942456489,2.4979772196599392,2.4523220927297356
['data' 'LabeledDB_new' 'Bust' '312' 'original.ply'],[-0.72004801 -0.71213001 -0.59381098],[0.93258202 0.78227103 0.53192002],12.024804876691768,2.7802088611351863,2.4963354634538106
['data' 'LabeledDB_new' 'Bust' '313' 'original.ply'],[-0.600833   -0.88161999 -0.64497799],[0.73341298 0.79334998 0.70033997],12.566348428032576,3.0065461066734716,2.528955743355507
['data' 'LabeledDB_new' 'Bust' '314' 'original.ply'],[-0.73618799 -0.57850403 -0.39896101],[0.73131698 0.99258202 0.411304  ],9.53528114191981,1.8681280330053012,2.2974794041149273
['data' 'LabeledDB_new' 'Bust' '315' 'original.ply'],[-0.530406   -0.86550701 -0.68100101],[0.61504    0.71820402 0.69478899],11.137604834451565,2.495759369808345,2.3901851997539323
['data' 'LabeledDB_new' 'Bust' '316' 'original.ply'],[-0.51432103 -0.89464903 -0.636235  ],[0.65463197 0.724172   0.76638502],11.605026699413678,2.654213900809968,2.440158917760655
['data' 'LabeledDB_new' 'Bust' '317' 'original.ply'],[-0.51667303 -0.98637402 -0.72542399],[0.54457402 0.81339198 0.62363899],11.539366318523655,2.5767053849819104,2.487041192686406
['data' 'LabeledDB_new' 'Bust' '318' 'original.ply'],[-0.52065498 -0.74732298 -0.760535  ],[0.519813   0.684717   0.71630901],10.283000610941883,2.200485376830769,2.3052939819936555
['data' 'LabeledDB_new' 'Bust' '319' 'original.ply'],[-0.984869   -0.52759898 -0.55984998],[0.95716798 0.55290103 0.63688397],11.431087232287865,2.5111917908231245,2.524115700917563
['data' 'LabeledDB_new' 'Bust' '320' 'original.ply'],[-0.89079499 -0.77466798 -0.695207  ],[0.85823202 0.95558101 0.62263298],15.222762473225046,3.988116165467631,2.790978191870002
['data' 'LabeledDB_new' 'Chair' '101' 'original.ply'],[-0.49351901 -0.82199597 -0.37485799],[0.307603   0.82740003 0.38848501],6.3839064534456895,1.0086565943533243,1.9862014480583863
['data' 'LabeledDB_new' 'Chair' '102' 'original.ply'],[-0.60979199 -0.75960398 -0.67710799],[0.588386   0.81096101 0.56908101],10.664386882406845,2.345098897345942,2.335656630561466
['data' 'LabeledDB_new' 'Chair' '103' 'original.ply'],[-0.489907   -0.81743002 -0.44753599],[0.34792101 0.84290099 0.41928899],7.113076964342632,1.205815815179965,2.051838296310003
['data' 'LabeledDB_new' 'Chair' '104' 'original.ply'],[-0.33467901 -0.39115801 -0.87767899],[0.347536   0.27303299 0.831891  ],5.509792772668607,0.7746421862792151,1.9568332991697492
['data' 'LabeledDB_new' 'Chair' '105' 'original.ply'],[-0.327021   -0.39616501 -0.87896699],[0.33579099 0.24871799 0.781982  ],5.1989017721251685,0.7099497121467431,1.9010379759164948
['data' 'LabeledDB_new' 'Chair' '106' 'original.ply'],[-0.61184698 -0.46990499 -0.85921597],[0.44186401 0.47552499 0.68309599],8.159018040851088,1.5364665542711302,2.093530729578457
